year,target,Mean,Median,SD,Min,Max
Y1,N1,35.956412203153846,36.071241380000004,1.0148505566495025,32.15543747,39.01290512
Y1,N2,36.012090420571425,36.08492279,1.0078251953243962,31.22782707,39.0252533
Y2,N1,36.986613528947466,37.02213851,1.1039428005096692,31.02035168,39.95
Y2,N2,38.34465280758681,38.41064246,1.0281234856276469,32.71807235,39.99763438
