Limits,Cq,Copies/L
Y1 N1 LoQ,,
Y1 N2 LoQ,,
Y2 N1 LoQ,,
Y2 N2 LoQ,,
Y1 N1 LoD,,
Y1 N2 LoD,,
Y2 N1 LoD,,
Y2 N2 LoD,,
